                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4304,                 1.7763,                 1.1193,                0.59924,                0.33198,                 0.3556,                0.20963,                 1.3038,                 1.1399,                 1.0919,             0.00027701,             0.00027701,             0.00027701
                      2,                 1.2975,                 1.1999,                 1.0797,                0.59207,                0.41106,                0.45468,                0.27685,                 1.2039,                0.98608,                 1.0577,             0.00054247,             0.00054247,             0.00054247
                      3,                 1.2593,                 1.0651,                 1.0705,                 0.5353,                 0.5156,                0.52506,                0.31269,                 1.1731,                0.92219,                 1.0487,             0.00079572,             0.00079572,             0.00079572
                      4,                 1.2349,                0.99651,                 1.0613,                0.68699,                0.52921,                0.58684,                0.35398,                  1.157,                0.84517,                 1.0458,             0.00077802,             0.00077802,             0.00077802
                      5,                 1.2072,                0.94325,                  1.056,                0.74043,                 0.4929,                0.60194,                0.37215,                 1.1344,                 0.8148,                   1.04,              0.0007597,              0.0007597,              0.0007597
                      6,                 1.1754,                0.89577,                 1.0382,                0.69337,                0.50387,                0.60394,                0.38263,                 1.0984,                0.77442,                 1.0288,             0.00074137,             0.00074137,             0.00074137
                      7,                 1.1553,                0.86499,                 1.0334,                0.70895,                0.59844,                0.67612,                0.42443,                 1.1026,                0.75737,                 1.0216,             0.00072304,             0.00072304,             0.00072304
                      8,                 1.1372,                 0.8427,                 1.0261,                0.75065,                0.56229,                0.66947,                0.42317,                 1.0781,                0.73544,                 1.0144,             0.00070472,             0.00070472,             0.00070472
                      9,                 1.1218,                0.81615,                 1.0199,                0.70184,                0.63019,                0.69631,                0.44432,                 1.0437,                0.70302,                 1.0036,             0.00068639,             0.00068639,             0.00068639
                     10,                 1.1101,                0.80723,                  1.019,                0.64774,                0.66607,                0.70683,                0.45877,                 1.0344,                 0.6888,                0.99988,             0.00066807,             0.00066807,             0.00066807
                     11,                 1.1005,                0.78955,                 1.0102,                0.70691,                0.67455,                0.72281,                0.47708,                 1.0162,                0.67525,                0.99515,             0.00064974,             0.00064974,             0.00064974
                     12,                 1.0897,                0.77835,                 1.0105,                0.78242,                0.65274,                0.75435,                0.48925,                 1.0091,                0.66969,                0.99544,             0.00063141,             0.00063141,             0.00063141
                     13,                 1.0677,                0.75688,                0.99926,                0.83052,                0.62832,                0.73785,                0.47906,                  1.011,                0.66219,                0.98759,             0.00061309,             0.00061309,             0.00061309
                     14,                 1.0645,                0.74584,                0.99965,                0.81882,                0.66425,                0.75767,                0.49954,                0.98281,                0.64442,                0.98079,             0.00059476,             0.00059476,             0.00059476
                     15,                 1.0549,                0.73672,                0.99464,                0.78294,                0.67813,                0.73955,                0.49068,                0.98054,                0.63553,                0.97927,             0.00057644,             0.00057644,             0.00057644
                     16,                 1.0428,                 0.7227,                0.99014,                0.82899,                0.69495,                0.78022,                0.51878,                0.96901,                0.62121,                0.97453,             0.00055811,             0.00055811,             0.00055811
                     17,                 1.0361,                0.71888,                0.98872,                0.79831,                0.66506,                0.75012,                0.50193,                0.95945,                0.62473,                0.97445,             0.00053978,             0.00053978,             0.00053978
                     18,                 1.0359,                0.71529,                0.98578,                0.87152,                0.65453,                0.77172,                0.51166,                0.95901,                0.61325,                0.97044,             0.00052146,             0.00052146,             0.00052146
                     19,                   1.02,                0.70134,                0.98404,                 0.8014,                0.71714,                0.79172,                0.53051,                0.94001,                0.60494,                0.97079,             0.00050313,             0.00050313,             0.00050313
                     20,                 1.0119,                0.69258,                0.97858,                 0.8051,                0.71356,                0.78876,                0.53638,                0.94088,                 0.5987,                0.97004,             0.00048481,             0.00048481,             0.00048481
                     21,                 1.0088,                0.68949,                0.97573,                0.87104,                0.72321,                0.81545,                 0.5647,                0.92242,                0.58983,                0.96284,             0.00046648,             0.00046648,             0.00046648
                     22,                 1.0037,                0.68007,                0.97481,                0.87368,                0.71314,                0.80575,                0.55045,                0.92188,                0.58105,                0.95981,             0.00044815,             0.00044815,             0.00044815
                     23,                0.99142,                 0.6744,                0.97183,                0.91287,                0.70721,                0.81548,                0.56583,                0.91247,                0.57156,                0.95517,             0.00042983,             0.00042983,             0.00042983
